H1,H2,H3,Syntax,Description,Doc,Method,Endpoint
Scanning Data Plane,Scan,Readsystemscanrulesetlatest,pvw scan readSystemScanRulesetLatest --dataSourceType=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanrulesetlatest,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRulesetLatest
Scanning Data Plane,Scan,Readsystemscanrulesets,pvw scan readSystemScanRulesets,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanrulesets,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRulesets
Scanning Data Plane,Scan,Readsystemscanrulesetversion,pvw scan readSystemScanRulesetVersion --version=<val> --dataSourceType=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanrulesetversion,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRulesetVersion
Scanning Data Plane,Scan,Readsystemscanrulesetversions,pvw scan readSystemScanRulesetVersions --dataSourceType=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readsystemscanrulesetversions,GET,https://{accountName}.purview.azure.com/scan/api/readSystemScanRulesetVersions
Scanning Data Plane,Scan,Readtrigger,pvw scan readTrigger --dataSourceName=<val> --scanName=<val>,Retrieve data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/readtrigger,GET,https://{accountName}.purview.azure.com/scan/api/readTrigger
Scanning Data Plane,Scan,Runscan,pvw scan runScan --dataSourceName=<val> --scanName=<val> [--scanLevel=<val>],Execute data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/runscan,POST,https://{accountName}.purview.azure.com/scan/api/runScan
Scanning Data Plane,Scan,Tagclassificationversion,pvw scan tagClassificationVersion --classificationRuleName=<val> --classificationRuleVersion=<val> --action=<val>,Perform operation on data source scan.,https://docs.microsoft.com/en-us/rest/api/purview/scanningdataplane/tagclassificationversion,POST,https://{accountName}.purview.azure.com/scan/api/tagClassificationVersion
Discovery Data Plane,Search,Autocomplete,pvw search autoComplete [--keywords=<val> --limit=<val> --filterFile=<val>],Perform operation on catalog.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/discovery/autocomplete,GET,https://{accountName}.purview.azure.com/catalog/api/search/autoComplete
Discovery Data Plane,Search,Browse,pvw search browse  (--entityType=<val> | --path=<val>) [--limit=<val> --offset=<val>],Browse catalog.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/discovery/browse,GET,https://{accountName}.purview.azure.com/catalog/api/search/browse
Discovery Data Plane,Search,Query,pvw search query [--keywords=<val> --limit=<val> --offset=<val> --filterFile=<val> --facets-file=<val>],Query catalog.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/discovery/query,GET,https://{accountName}.purview.azure.com/catalog/api/search/query
Discovery Data Plane,Search,Suggest,pvw search suggest [--keywords=<val> --limit=<val> --filterFile=<val>],Get suggestions for catalog.,https://docs.microsoft.com/en-us/rest/api/purview/catalogdataplane/discovery/suggest,GET,https://{accountName}.purview.azure.com/catalog/api/search/suggest
